species,wingspan_cm,n_nan_markers,n_near_zero_markers,min_scale,max_scale,scale_ratio_max_min,mean_rotation_deg,status,issues,norm_wingtip,norm_primary,norm_secondary,norm_tailtip,scale_wingtip,scale_primary,scale_secondary,scale_tailtip,rotation_deg_wingtip,rotation_deg_primary,rotation_deg_secondary,rotation_deg_tailtip
American_white_pelican,195.0,0,0,1.5727,3.6604,2.327,11.36,PASS,none,0.995882,0.849405,0.701631,0.302313,3.2869,3.5071,3.6604,1.5727,17.9,19.67,5.21,2.66
Amherst_pheasant,64.6,0,0,0.9449,5.4678,5.786,20.14,WARN,High scale variance: max/min ratio=5.79,0.326141,0.231922,0.181129,1.051033,1.0764,0.9576,0.9449,5.4678,17.93,18.7,12.26,31.67
Canada goose,156.0,0,0,1.6756,2.7189,1.623,7.64,PASS,none,0.788738,0.658524,0.484343,0.322081,2.6032,2.7189,2.5268,1.6756,7.16,8.16,12.33,2.93
Himalayan_monal,84.2,0,0,1.3402,1.7183,1.282,9.99,PASS,none,0.423415,0.324589,0.271818,0.330292,1.3975,1.3402,1.4181,1.7183,16.21,17.0,2.87,3.88
Stellers_jay,44.2,0,0,0.5803,1.0438,1.799,13.14,PASS,none,0.223545,0.163423,0.111238,0.20064,0.7378,0.6747,0.5803,1.0438,17.43,14.88,15.94,4.29
barn_owl,106.0,0,0,1.2345,1.8311,1.483,9.63,PASS,none,0.535037,0.44349,0.327678,0.237304,1.7659,1.8311,1.7095,1.2345,10.5,16.1,2.28,9.63
belted_kingfisher,56.1,0,0,0.7419,0.937,1.263,8.86,PASS,none,0.281109,0.226937,0.167277,0.142614,0.9278,0.937,0.8727,0.7419,8.12,9.43,3.57,14.32
black_swift,38.5,0,0,0.4125,0.6723,1.63,4.49,PASS,none,0.203687,0.138469,0.079076,0.109518,0.6723,0.5717,0.4125,0.5697,3.47,4.47,5.17,4.86
common_nighthawk,52.0,0,0,0.6595,1.0902,1.653,5.78,PASS,none,0.265213,0.202255,0.126417,0.209567,0.8753,0.8351,0.6595,1.0902,3.63,5.74,1.52,12.25
common_raven,116.0,0,0,1.9058,2.3285,1.222,14.36,PASS,none,0.60512,0.467504,0.365307,0.44759,1.9972,1.9302,1.9058,2.3285,23.86,20.13,4.28,9.18
coopers_hawk,81.2,0,0,1.2536,1.6121,1.286,16.04,PASS,none,0.415308,0.30362,0.309004,0.261483,1.3707,1.2536,1.6121,1.3603,12.71,13.06,4.02,34.36
glaucous_winged_gull,132.4,0,0,1.298,2.3138,1.783,11.23,PASS,none,0.680747,0.560398,0.398475,0.249508,2.2468,2.3138,2.0788,1.298,15.09,19.17,2.08,8.6
great_blue_heron,184.4,0,0,2.0387,3.3514,1.644,9.67,PASS,none,0.936225,0.787571,0.642404,0.391878,3.09,3.2518,3.3514,2.0387,12.35,13.9,3.6,8.81
mallard,88.8,0,0,0.8832,1.5488,1.754,8.12,PASS,none,0.449603,0.375116,0.283912,0.169763,1.4839,1.5488,1.4812,0.8832,3.4,8.52,13.12,7.43
merlin,54.1,0,0,0.7119,1.0285,1.445,10.69,PASS,none,0.274351,0.210504,0.136452,0.197703,0.9055,0.8691,0.7119,1.0285,17.04,10.27,6.76,8.7
northern_flicker,51.3,0,0,0.7452,0.8538,1.146,16.54,PASS,none,0.258696,0.198279,0.142839,0.157801,0.8538,0.8187,0.7452,0.8209,16.41,15.77,8.73,25.23
peregrine_falcon,83.9,0,0,1.3095,1.4651,1.119,10.88,PASS,none,0.423568,0.35485,0.25101,0.253961,1.398,1.4651,1.3095,1.3212,14.9,16.33,7.6,4.69
pigeon,63.4,0,0,0.7809,1.1242,1.44,21.53,PASS,none,0.322349,0.27228,0.158481,0.15011,1.0639,1.1242,0.8268,0.7809,20.75,21.6,8.77,35.02
sharp_shinned_hawk,61.0,0,0,0.8445,1.4225,1.685,8.88,PASS,none,0.305173,0.204526,0.180129,0.273436,1.0072,0.8445,0.9397,1.4225,12.64,12.0,4.71,6.14
silver_pheasant,76.4,0,0,1.1164,3.7475,3.357,19.56,PASS,none,0.366959,0.270395,0.218461,0.72034,1.2112,1.1164,1.1397,3.7475,17.09,17.56,7.3,36.28
storm_petrel,45.2,0,0,0.5474,0.7595,1.387,4.55,PASS,none,0.230113,0.164258,0.104928,0.132074,0.7595,0.6782,0.5474,0.6871,2.93,7.04,3.27,4.96
western_grebe,78.6,0,0,0.7455,1.5478,2.076,19.32,PASS,none,0.393745,0.345736,0.296692,0.143302,1.2996,1.4275,1.5478,0.7455,12.04,19.01,10.05,36.19
